행정구역별(시군구),전체_남녀,미성년_남녀,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상
대전광역시 > 동구,"35,041","2,204","7,546","2,998","1,974","1,642","1,808","2,094","2,249","2,805","2,440","2,051","1,917","1,584","1,122",607,"18,011","1,152","3,922","2,050","1,324","1,117","1,237","1,336","1,364","1,433","1,096",749,550,325,235,121,"17,030","1,052","3,624",948,650,525,571,758,885,"1,372","1,344","1,302","1,367","1,259",887,486
대전광역시 > 중구,"25,410",164,"1,346","2,240","1,983","1,741","1,766","2,016","2,178","2,665","2,396","1,946","1,743","1,538","1,033",655,"11,832",63,505,"1,181","1,176","1,064","1,128","1,215","1,267","1,335","1,015",701,479,381,192,130,"13,578",101,841,"1,059",807,677,638,801,911,"1,330","1,381","1,245","1,264","1,157",841,525
대전광역시 > 서구,"56,602","1,387","8,158","8,162","6,400","4,802","4,306","4,230","3,685","4,149","3,249","2,310","1,984","1,759","1,271",750,"27,375",752,"3,763","4,539","3,687","2,776","2,481","2,350","1,911","1,887","1,211",774,528,373,226,117,"29,227",635,"4,395","3,623","2,713","2,026","1,825","1,880","1,774","2,262","2,038","1,536","1,456","1,386","1,045",633
대전광역시 > 유성구,"41,449",751,"6,034","8,060","6,163","4,017","3,157","2,855","2,376","2,490","1,762","1,132",900,782,630,340,"24,100",423,"3,298","5,401","4,231","2,658","2,039","1,722","1,320","1,240",765,403,263,176,98,63,"17,349",328,"2,736","2,659","1,932","1,359","1,118","1,133","1,056","1,250",997,729,637,606,532,277
대전광역시 > 대덕구,"21,103",542,"2,461","1,659","1,443","1,381","1,517","1,934","1,855","2,132","1,730","1,264","1,083",975,715,412,"10,922",275,"1,184","1,161",999,944,"1,040","1,280","1,102","1,043",716,457,293,218,136,74,"10,181",267,"1,277",498,444,437,477,654,753,"1,089","1,014",807,790,757,579,338
울산광역시 > 중구,"22,018",71,596,"1,593","1,795","1,664","1,925","2,118","2,305","2,658","2,387","1,691","1,306",988,609,312,"11,409",40,314,989,"1,292","1,154","1,273","1,327","1,313","1,329","1,002",645,383,215,92,41,"10,609",31,282,604,503,510,652,791,992,"1,329","1,385","1,046",923,773,517,271
울산광역시 > 남구,"34,883",269,"2,251","3,826","4,021","3,275","3,257","3,440","3,261","3,447","2,667","1,805","1,345","1,062",628,329,"18,953",159,"1,286","2,558","2,717","2,115","1,991","2,050","1,897","1,655","1,136",636,346,241,118,48,"15,930",110,965,"1,268","1,304","1,160","1,266","1,390","1,364","1,792","1,531","1,169",999,821,510,281
울산광역시 > 동구,"16,260",88,827,"2,037","2,205","1,846","1,501","1,405","1,359","1,593","1,130",828,575,462,261,143,"10,416",45,503,"1,526","1,853","1,532","1,153","1,008",851,807,492,323,167,106,34,16,"5,844",43,324,511,352,314,348,397,508,786,638,505,408,356,227,127
울산광역시 > 북구,"12,430",31,412,"1,381","1,422","1,475","1,267","1,315","1,135","1,111",872,638,488,459,267,157,"7,637",15,277,"1,061","1,157","1,191",952,865,698,563,372,223,129,77,40,17,"4,793",16,135,320,265,284,315,450,437,548,500,415,359,382,227,140
울산광역시 > 울주군,"19,265",69,559,"1,259","1,613","1,576","1,540","1,816","1,959","2,109","1,795","1,336","1,182","1,145",803,504,"10,523",30,320,901,"1,267","1,224","1,144","1,220","1,166","1,118",871,516,348,234,109,55,"8,742",39,239,358,346,352,396,596,793,991,924,820,834,911,694,449
경기도 > 장안구,"25,876",280,"2,278","3,121","2,462","2,135","2,025","2,220","2,120","2,326","1,720","1,418","1,301","1,129",825,516,"14,162",166,"1,514","2,183","1,651","1,405","1,299","1,363","1,236","1,167",747,516,379,260,150,126,"11,714",114,764,938,811,730,726,857,884,"1,159",973,902,922,869,675,390
경기도 > 권선구,"33,728",149,"1,334","4,099","4,921","4,018","3,441","3,189","2,735","2,901","2,169","1,493","1,240",996,675,368,"18,450",41,456,"2,371","3,261","2,640","2,250","2,022","1,622","1,498",953,583,338,213,121,81,"15,278",108,878,"1,728","1,660","1,378","1,191","1,167","1,113","1,403","1,216",910,902,783,554,287
경기도 > 팔달구,"26,579",133,"1,381","3,379","3,112","2,422","2,273","2,343","2,280","2,540","2,021","1,501","1,229","1,048",598,319,"14,336",73,612,"1,952","1,962","1,509","1,451","1,490","1,441","1,437",953,624,383,277,115,57,"12,243",60,769,"1,427","1,150",913,822,853,839,"1,103","1,068",877,846,771,483,262
경기도 > 영통구,"33,369",296,"3,664","8,245","5,846","3,608","2,629","2,139","1,588","1,474","1,111",820,740,599,390,220,"19,526",153,"1,833","5,522","4,145","2,380","1,654","1,232",846,672,418,266,187,117,72,29,"13,843",143,"1,831","2,723","1,701","1,228",975,907,742,802,693,554,553,482,318,191
경기도 > 수정구,"33,214",588,"2,196","3,216","3,451","2,847","2,878","3,121","3,045","3,282","2,716","1,939","1,624","1,195",718,398,"18,173",237,985,"1,987","2,262","1,868","1,957","2,046","1,921","1,806","1,301",745,527,312,153,66,"15,041",351,"1,211","1,229","1,189",979,921,"1,075","1,124","1,476","1,415","1,194","1,097",883,565,332
경기도 > 중원구,"27,116",134,"1,109","2,234","2,740","2,499","2,423","2,670","2,732","2,987","2,343","1,783","1,421","1,048",654,339,"14,907",60,448,"1,303","1,824","1,631","1,623","1,717","1,823","1,709","1,121",718,463,280,135,52,"12,209",74,661,931,916,868,800,953,909,"1,278","1,222","1,065",958,768,519,287
경기도 > 분당구,"37,811",115,"1,245","5,336","6,367","4,705","3,768","3,091","2,274","2,290","1,874","1,522","1,551","1,488","1,228",957,"17,115",48,373,"2,613","3,719","2,609","2,017","1,589","1,138",983,638,437,329,275,178,169,"20,696",67,872,"2,723","2,648","2,096","1,751","1,502","1,136","1,307","1,236","1,085","1,222","1,213","1,050",788
경기도 > 의정부시,"37,293",209,"1,423","2,621","3,015","2,908","3,232","3,534","3,695","4,137","3,255","2,667","2,375","2,197","1,325",700,"18,177",84,609,"1,429","1,847","1,885","2,047","2,128","2,092","2,094","1,376",961,681,522,284,138,"19,116",125,814,"1,192","1,168","1,023","1,185","1,406","1,603","2,043","1,879","1,706","1,694","1,675","1,041",562
경기도 > 만안구,"20,842",208,"1,214","1,648","1,861","1,666","1,699","1,902","1,940","2,278","1,738","1,411","1,189","1,073",662,353,"10,926",76,496,959,"1,286","1,123","1,136","1,246","1,197","1,257",763,563,335,300,121,68,"9,916",132,718,689,575,543,563,656,743,"1,021",975,848,854,773,541,285
경기도 > 동안구,"21,270",159,693,"1,835","2,460","2,154","2,125","1,992","1,736","1,817","1,561","1,184","1,168","1,047",827,512,"9,997",74,302,"1,078","1,639","1,300","1,238","1,084",927,789,558,348,255,195,130,80,"11,273",85,391,757,821,854,887,908,809,"1,028","1,003",836,913,852,697,432
