행정구역(시군구)별,20~39세 여성 인구수,65세이상 인구수,소멸위험지수,2021년 총인구수,2011년 총인구수,인구성장률,2016년 총인구수,인구성장률
　　　순창군,"1,824","9,426",0.19345428,27209,29662,-0.863373,29921,-1.900623
　　　고창군,"3,463","18,846",0.18372599,53648,59967,-1.113512,59862,-2.191974
　　　부안군,"3,511","17,363",0.20218280,51137,59099,-1.447057,56422,-1.966840
　　　목포시,"24,102","38,164",0.63153757,220005,243063,-0.996704,236229,-1.423028
　　　여수시,"28,261","55,179",0.51216042,277234,290994,-0.484407,287705,-0.741475
　　　순천시,"32,873","45,047",0.72973783,280803,270923,0.358169,277307,0.250564
　　　나주시,"12,693","26,207",0.48433625,115643,88338,2.693388,100497,2.807513
　　　광양시,"16,664","20,522",0.81200663,150677,147453,0.216291,153968,-0.432128
　　　담양군,"3,628","14,465",0.25081231,45948,47393,-0.309642,46730,-0.337307
　　　곡성군,"1,798","10,170",0.17674533,27619,31393,-1.280651,30326,-1.869700
　　　구례군,"1,616","8,901",0.18155263,25369,27217,-0.703138,27163,-1.366556
　　　고흥군,"3,253","26,327",0.12354237,63030,72791,-1.439815,67676,-1.422416
　　　보성군,"2,339","15,571",0.15021514,39668,47831,-1.871313,44450,-2.276430
　　　화순군,"5,369","16,916",0.31736226,62231,68674,-0.985254,65073,-0.893290
　　　장흥군,"2,525","12,902",0.19570609,36940,42137,-1.316448,41784,-2.464402
　　　강진군,"2,335","12,031",0.19408195,33967,41289,-1.951945,37953,-2.218918
　　　해남군,"4,627","22,304",0.20745158,67597,78357,-1.477127,75072,-2.097696
　　　영암군,"4,168","14,410",0.28920888,52934,59530,-1.174345,57038,-1.493437
　　　무안군,"9,489","17,684",0.53658675,88308,74615,1.684902,81704,1.554564
　　　함평군,"1,888","11,733",0.16087105,31422,36051,-1.374263,34269,-1.734657
　　　영광군,"4,370","15,460",0.28263260,52185,56495,-0.793666,55401,-1.196062
　　　장성군,"3,272","13,386",0.24439713,43637,45881,-0.501462,45815,-0.974352
　　　완도군,"3,240","16,305",0.19868139,49051,53794,-0.923014,52512,-1.363623
　　　진도군,"2,075","10,318",0.20105641,30477,33337,-0.896956,31975,-0.959641
　　　신안군,"1,967","14,282",0.13772581,38281,44374,-1.477131,42505,-2.093622
　　　남구,"22,676","41,654",0.54437749,229481,251770,-0.926979,244037,-1.230036
　　　북구,"28,598","48,580",0.58866818,271577,260801,0.404880,271107,0.034643
　　　경주시,"22,987","58,161",0.39523048,251308,264297,-0.503923,257733,-0.504898
　　　김천시,"13,285","32,962",0.40303986,139800,135313,0.326222,140360,-0.079883
　　　안동시,"14,762","39,578",0.37298499,157301,167084,-0.603357,168130,-1.331590
　　　구미시,"54,386","41,105",1.32309938,412774,406924,0.142738,417724,-0.238414
　　　영주시,"7,792","28,411",0.27424237,102054,113238,-1.039902,108767,-1.274124
　　　영천시,"8,279","29,250",0.28302564,101440,102671,-0.120671,99759,0.334106
　　　상주시,"6,624","30,660",0.21603066,95903,104312,-0.840544,101308,-1.096568
　　　문경시,"5,285","21,800",0.24243119,70757,76474,-0.776993,74671,-1.076807
　　　경산시,"31,591","45,775",0.69012561,264627,240553,0.953829,255754,0.682144
　　　군위군,"1,093","9,557",0.11436643,22981,24311,-0.562611,23973,-0.845208
　　　의성군,"2,622","21,555",0.12161911,50815,57619,-1.256619,53670,-1.093449
　　　청송군,"1,310","9,415",0.13908656,24680,26433,-0.686214,26153,-1.159437
　　　영양군,919,"6,251",0.14701648,16404,18146,-1.009554,17613,-1.422851
　　　영덕군,"2,040","13,725",0.14863388,35538,40675,-1.350111,38745,-1.727725
　　　청도군,"2,340","16,170",0.14471243,41838,44052,-0.515777,43325,-0.698735
　　　고령군,"1,972","10,015",0.19685472,30839,34828,-1.216415,34195,-2.065694
　　　성주군,"2,796","14,126",0.19793289,42900,45056,-0.490232,44765,-0.851095
　　　칠곡군,"11,552","18,583",0.62164344,113557,117974,-0.381638,121992,-1.433099
　　　예천군,"4,421","16,977",0.26041114,55464,46424,1.779284,45039,4.164330
　　　봉화군,"1,601","11,593",0.13805745,30871,33997,-0.964565,33304,-1.517529
　　　울진군,"3,649","13,776",0.26488095,48078,51879,-0.760998,51480,-1.367582
　　　울릉군,645,"2,332",0.27658662,8847,10550,-1.760000,9878,-2.204633
　　　진주시,"40,144","60,054",0.66846505,346381,333192,0.388205,343824,0.148189
　　　통영시,"11,096","25,632",0.43287687,126112,138988,-0.972176,137595,-1.742963
　　　사천시,"9,481","24,885",0.38097247,109887,113136,-0.291381,114216,-0.772689
　　　김해시,"63,473","63,241",1.00366851,537685,501828,0.690165,526003,0.439319
　　　밀양시,"7,788","30,251",0.25742951,103475,108835,-0.505032,107173,-0.702383
　　　거제시,"26,667","27,722",0.96194358,242385,229187,0.559870,255105,-1.022998
　　　양산시,"41,946","50,037",0.83828967,352203,261794,2.966498,307725,2.700056
　　　의창구,"26,996","30,431",0.88712169,224206,251472,-1.147686,253003,-2.416766
　　　성산구,"31,992","22,783",1.40420489,247226,248338,-0.044898,232077,1.264676
　　　마산합포구,"18,200","38,583",0.47169738,177059,184239,-0.397536,179919,-0.320476
　　　마산회원구,"19,502","34,344",0.56784300,187893,222355,-1.684030,209729,-2.198877
　　　진해구,"21,330","28,486",0.74878888,193061,176991,0.869047,185620,0.786095
　　　의령군,"1,607","9,996",0.16076431,26456,29926,-1.232469,28160,-1.248414
　　　함안군,"4,753","16,323",0.29118422,63026,"66,506",-0.537448,68548,-1.679738
　　　창녕군,"4,159","19,261",0.21590260,60343,"61,564.5",-0.200487,63408,-0.991067
　　　고성군,"3,163","16,243",0.19469926,50645,"56,760",-1.140012,54579,-1.496188
　　　남해군,"2,343","16,298",0.14372929,42401,"49,474",-1.542871,45205,-1.280951
　　　하동군,"2,472","15,581",0.15862268,43883,"52,454.5",-1.784305,49640,-2.465426
　　　산청군,"1,931","12,933",0.14926931,34378,"35,286",-0.260840,35772,-0.795264
　　　함양군,"2,487","13,294",0.18707688,38444,"40,794",-0.593324,39952,-0.769522
　　　거창군,"4,714","17,216",0.27378601,61002,"62,871.5",-0.301863,62895,-0.611041
　　　합천군,"2,291","17,390",0.13171363,43105,"50,328.5",-1.549325,48109,-2.196605
　　　제주시,"60,340","71,362",0.84554104,489241,"416,051.5",1.620462,461552,1.165231
　　　서귀포시,"18,501","35,826",0.51641266,181752,"152,272",1.769720,166468,1.756805
