인구수,사망률,고령화비율,전체 가구수,산림면적(ha),고용률,경제활동인구,유소년비율,조출생률,1인 가구비율,터널수,만명당 매장 수,만명 당 의료기관 수,만명당 3차병원수,만명당 2차병원 수,만명당 1차병원 수,만명당 요양병원 수,만먕당 한의원 수,1차산업비율,2차산업비율,3차산업비율,ktx거리,빈집비율,산지면적/도시면적,재정자립도,연평균인구증감률
34647.5,1319,34.28530197,15398,28503,70.2,39,8.805830146,3.723212353,0.3803091311,16,0.5772422253,14.14243452,0,0,0.2886211126,0.2886211126,2.308968901,40.67,11.4,47.67,38.5046,18.8,10.54034865,7.8,-2.1588
64022,1635.4,40.53450376,29852,45162,74.9,79.7,6.883571272,3.795570273,0.3954508911,6,0.4685889226,14.99484552,0,0.1561963075,0.4685889226,0.1561963075,2.342944613,56.46,8.1,35.19,40.4703,18.7,13.8276277,7.1,-1.4093
28267,1546,35.69179609,12833,39366,68.7,33.5,7.032935932,2.405632009,0.41128341,4,0.3537694131,15.56585418,0,0,0.3537694131,0.3537694131,1.768847065,48.8,9.34,41.87,1.015,15.8,25.43466884,9.5,-2.0009
25985,1358.5,33.6347893,11089,33720,69.9,28.6,7.973831056,3.386569175,0.3783028226,20,0.7696748124,15.77833365,0,0,0.3848374062,1.154512219,2.693861843,41.55,9.51,48.59,4.4014,15.5,30.91876032,7.3,-1.5811
46033.5,1201.3,30.56252512,18333,27218,68.6,52.5,8.068037408,5.213594448,0.3078055965,17,0.217233102,14.33738473,0,0,0.217233102,1.303398612,2.17233102,43.65,13.85,42.69,27.1882,14,2.039592891,12.3,-0.5062
40543.5,1507,37.91976519,17980,41164,72.8,47.1,7.483320384,3.132437999,0.3897107898,46,0.9865946453,16.27881165,0,0,0.4932973226,0.9865946453,2.466486613,46.57,10.09,43.56,42.7176,14.4,17.17048265,6.3,-2.321
39200.5,1466.8,35.9204602,16997,32173,78.5,45.7,6.510121044,3.647912654,0.3874801436,0,0.255098787,15.81612479,0,0,0.510197574,0.510197574,1.530592722,66.81,6.81,26.81,5.4896,10,86.36351435,6.6,-2.2518
52970,1238.4,28.68604871,22102,20632,69.7,57.8,10.89862186,10.53426468,0.3453986065,10,0.3775722107,13.59259958,0,0.3775722107,0,0.1887861053,2.643005475,36.65,14.49,49.04,29.6754,15.3,4.388256013,10.5,-1.152
53651,1137,26.24182215,25307,22487,69.7,69.6,10.84043168,5.312109746,0.3603745999,17,0.559169447,12.11533802,0,0,0.3727796313,0.1863898157,2.609457419,32.7,25.73,41.72,23.8725,21.8,2.190799364,13,-1.4998
50007,1289.8,32.04351391,22006,25716,66.4,54.6,9.962605235,4.879316896,0.3399981823,0,0.5999160118,12.19829224,0,0,0.1999720039,0,1.599776031,47.6,7.75,45.02,63.4237,14.5,9.655654055,6.3,-1.3327
44714.5,1183.1,29.31487549,17583,31745,67.6,47,10.05490389,5.81466862,0.3074560655,25,0.894564403,11.62933724,0,0,0.4472822015,0.4472822015,1.789128806,39.52,16.41,44.28,18.3214,16.7,2.922111395,11.8,-0.9014
37858.5,1347.1,33.63313391,16646,38813,72.7,43.4,8.756289869,6.154496348,0.3787696744,37,0.5282829483,15.3202055,0,0.2641414742,0.5282829483,0.2641414742,2.641414742,42.79,9.77,47.67,40.8404,13.9,10.41509576,8.3,-1.8123
30721.5,1279.2,32.97039533,13883,25082,73.6,36.9,9.130413554,3.580554335,0.3749909962,0,0.6510098791,15.29873216,0,0,0.6510098791,0.3255049395,1.627524698,44.84,6.79,48.37,36.242,13.3,10.92102914,8.1,-0.6699
32098,1539,35.96797308,13720,18082,70.4,36.6,7.343136644,4.112405757,0.3778425656,8,0.6230917814,15.88884043,0,0,0.6230917814,0.3115458907,2.492367126,54.97,9.12,36.19,19.1591,16,6.448874782,8.5,-1.7513
68999.5,1410.2,31.80457829,29535,44250,74.3,81.3,9.660939572,5.724679164,0.3495852379,0,0.4347857593,12.60878702,0,0.2898571729,0.2898571729,0.1449285864,1.449285864,50.49,8.52,40.74,31.3185,14.3,7.718956711,7.4,-2.1713
62181.5,1048.5,26.39852689,25608,57578,63.8,67.8,9.842155625,4.213471853,0.334075289,5,0.4824586091,13.99129966,0.1608195364,0,0.4824586091,2.090653973,1.929834436,18.64,18.03,63.33,19.5332,18.4,7.779549262,16.6,-1.0821
54578.5,1352.2,33.84849345,23845,26110,68.2,62.3,8.539992854,3.719413322,0.3491717341,11,0.7328893246,15.75712048,0,0.1832223311,0.1832223311,0.9161116557,2.015445643,57.93,8.9,33.01,20.0859,15,8.043275347,7.5,-2.6033
82405,1327.6,31.25659851,35247,11519,64.5,90.1,9.051635216,3.55560949,0.3313473487,2,0.6067592986,15.41168618,0,0,0.4854074389,0.4854074389,2.427037194,32.85,14.74,52.53,16.5812,15.8,2.628012667,9.7,-1.5544
80653.5,1232.4,27.61690441,34331,46955,66,90.9,10.60462348,4.723911548,0.332177915,40,0.6199358986,15.62238465,0,0.1239871797,0.1239871797,0.4959487189,2.603730774,31.58,14.06,54.13,2.6895,12.9,15.32098866,9.1,-1.0639
24068.5,1458.3,33.03072481,10539,50972,74.4,30,8.916218294,3.697779255,0.3556314641,21,0.4154808152,14.12634772,0,0,0,0,3.323846521,37.04,8.08,55.22,41.4522,15.6,41.26184906,8.5,-0.9277
52251,1343.5,32.65009282,22591,19817,70.2,60.1,8.279267382,3.234387859,0.3459342216,1,0.3827677939,13.77964058,0,0.191383897,0.7655355878,0.3827677939,3.062142351,42.81,11.37,45.82,19.9728,17.2,4.147967983,9.2,-2.2055
27930,1410.7,33.40136054,11750,33031,71.7,31.9,9.55245256,5.943430004,0.3351489362,4,0.358037952,19.33404941,0,0,0.358037952,0.716075904,2.148227712,53.5,10.83,35.99,18.1579,18.1,32.67161227,8.7,-1.8355
27928,1525.4,35.21197365,12380,40686,73.9,31.8,8.14594672,5.90804927,0.3877221325,26,0.3580635921,21.48381553,0,0,0.3580635921,0.3580635921,3.580635921,48.89,9.52,41.9,23.8311,14.8,22.62218515,8.5,-2.4774
22158.5,1241.1,33.37771059,9497,39703,79.5,29.1,9.116140533,4.287293815,0.3402126987,31,0.4512940858,13.08752849,0,0,0,0,1.805176343,39.31,8.62,52.07,29.9554,10.7,72.52484291,7.7,-1.6742
108474,1178.2,27.17978502,46850,32338,64.1,119.3,10.24853882,3.392518023,0.3321878335,10,0.737503918,14.65789037,0,0.09218798975,0.2765639692,0.4609399487,2.673451703,32.26,20.69,47.04,1.432,14.7,6.760533935,9.5,-1.4792
25360.5,1238.1,34.32503302,10774,60551,72.2,28.9,8.300309536,5.441533093,0.3466679042,30,0.7886279845,15.77255969,0,0,0.7886279845,0,1.971569961,42.21,10.03,48.1,24.4325,11.3,94.63607521,7.1,-0.6537
104677,1091,25.5930147,46981,60071,62.7,124.5,9.383150071,4.337151428,0.359421894,30,0.7642557582,13.66107168,0,0.09553196977,0.09553196977,0.7642557582,3.152555003,29,19.14,51.95,12.8162,13,9.992680695,12.5,-1.248
51373,1327.5,30.54522804,24102,40328,67.2,66.1,9.34148288,3.601113425,0.3644095926,8,0.778619119,14.4044537,0,0,0.1946547797,0.5839643392,3.309131256,35.44,19.11,45.76,24.9441,13.3,13.69227687,12.6,-1.4977
116625.5,1128.4,25.93257907,51800,23242,64.6,133.3,10.44968725,4.184333615,0.3391119691,3,0.9431899542,14.3193384,0,0.08574454129,0.1714890826,0.8574454129,3.172548028,31.21,18.3,50.42,2.2691,11.9,4.662331045,11.4,-1.3538
99852.5,997.5,25.3824391,43181,32707,63.6,111.7,10.32222528,4.076012118,0.3183112943,5,1.101624897,11.81743071,0,0.1001477179,0.2002954358,0.2002954358,2.904283819,20.75,19.47,59.69,43.3527,12.7,10.87905216,13.6,-0.8888
65431,1375.5,33.87232352,28671,31597,66.1,77.1,7.935076646,2.55230701,0.3347633497,13,0.4584982653,13.44928245,0,0,0.1528327551,0.4584982653,2.139658572,45.91,11.21,43.01,17.8964,12.2,7.28197517,9.1,-1.7678
51820.5,1385.6,35.79664419,23143,14523,69.2,62.2,7.641763395,3.280554993,0.3390225986,12,0.7718952924,15.0519582,0,0,0.1929738231,0.7718952924,2.701633523,33.82,15.7,50.49,27.6942,17.5,6.303877907,10.1,-1.9042
78071.5,1264.2,30.73336621,34488,24506,67.7,93.4,8.210422497,3.163766547,0.3208362329,11,0.7685262868,11.78406973,0,0.1280877145,0.2561754289,0,2.561754289,38.28,18.65,42.86,26.3595,15.1,6.656996012,12.7,-1.0158
31134,1528.9,34.85257275,13745,31498,79.3,43.9,6.957024475,2.954968844,0.3425973081,7,0.6423845314,13.49007516,0,0,0,0.6423845314,2.24834586,54.13,10.55,35.32,29.8399,11.5,52.85520111,10.2,-1.4072
62050.5,1074.9,30.40104431,28521,23326,71.9,76.9,8.563992232,3.513267419,0.3554924442,0,0.9669543356,10.9588158,0,0,0.1611590559,0.1611590559,2.095067727,42.24,8.47,49.41,71.9992,14.8,6.427400355,13,-0.6663
38968,1275.4,32.70888935,18470,62103,68.9,49.5,6.053685075,2.001642373,0.4089875474,20,0.5132416342,12.31779922,0,0,0.5132416342,0,1.283104085,44.86,15.64,39.71,20.9168,8.4,49.96299216,8.6,0.2683
29143,1132.3,30.02779398,12845,64227,66.1,32.6,7.480355488,2.539203239,0.3620085636,25,1.029406719,12.35288062,0,0,0,0.3431355729,1.715677864,25.79,16.35,58.18,2.3648,15.2,18.01856647,11.6,-1.1236
32402.5,1638.8,33.84306766,14464,39807,69.1,39.3,7.693850783,3.456523416,0.3512859513,18,0.6172363244,16.04814443,0,0,0.3086181622,0.9258544865,2.468945297,42.31,16.92,41.28,31.8634,15.6,22.44329554,9.5,-1.3486
47736.5,1432.9,30.80661548,21303,65745,63,53.4,8.341625381,4.524839483,0.3602778951,17,0.6284499283,15.29228159,0,0,0.2094833094,0.6284499283,3.142249641,43.45,12.52,44.02,35.8983,13.1,21.13531811,8.1,-1.5577
50381,1206.8,29.19553006,20937,349001,63.2,56.4,9.037137016,3.513229194,0.2933562593,25,0.7939501002,14.48958933,0,0.1984875251,0,0.5954625752,2.977312876,29.42,19.86,50.54,12.7339,11.7,63.38442818,11.4,-0.8429
132882.5,852.6,21.25712566,60173,64042,60.1,144.9,10.92920437,4.605572592,0.360709953,6,1.27932572,11.43867703,0,0.1505089082,0.07525445412,0.4515267247,2.709160348,13.27,23.31,63.34,1.2238,11.6,11.10951131,15.3,-0.647
