sigungu,sum,상급종합병원,종합병원,병원,요양병원,한의원,pop,인구감소지수 분류,sido,전체,삼차,이차,일차,요양,한의,sig_cd
전라남도 완도군,61,0,0,1,0,8,50007.0,인구감소지역,전라남도,12.198292239086529,0.0,0.0,0.19997200391945127,0.0,1.5997760313556102,46890
전라남도 장성군,52,0,0,2,2,8,44714.5,인구감소지역,전라남도,11.629337239597893,0.0,0.0,0.4472822015229959,0.4472822015229959,1.7891288060919837,46880
전라남도 장흥군,58,0,1,2,1,10,37858.5,인구감소지역,전라남도,15.320205502066909,0.0,0.26414147417356737,0.5282829483471347,0.26414147417356737,2.6414147417356735,46800
전라남도 진도군,47,0,0,2,1,5,30721.5,인구감소지역,전라남도,15.298732158260501,0.0,0.0,0.651009879074915,0.3255049395374575,1.6275246976872875,46900
전라남도 함평군,51,0,0,2,1,8,32098.0,인구감소지역,전라남도,15.888840426194779,0.0,0.0,0.623091781419403,0.3115458907097015,2.492367125677612,46860
전라남도 해남군,87,0,2,2,1,10,68999.5,인구감소지역,전라남도,12.608787020195798,0.0,0.28985717287806434,0.28985717287806434,0.14492858643903217,1.4492858643903217,46820
전라남도 화순군,87,1,0,3,13,12,62181.5,인구감소지역,전라남도,13.99129966308307,0.16081953635727667,0.0,0.48245860907183,2.090653972644597,1.92983443628732,46790
전라북도 고창군,86,0,1,1,5,11,54578.5,인구감소지역,전라북도,15.75712047784384,0.0,0.18322233113771905,0.18322233113771905,0.9161116556885953,2.01544564251491,45790
전라북도 김제시,127,0,0,4,4,20,82405.0,인구감소지역,전라북도,15.41168618409077,0.0,0.0,0.4854074388690007,0.4854074388690007,2.4270371943450035,45210
전라북도 남원시,126,0,1,1,4,21,80653.5,인구감소지역,전라북도,15.622384645427664,0.0,0.12398717972561638,0.12398717972561638,0.4959487189024655,2.6037307742379436,45190
전라북도 무주군,34,0,0,0,0,8,24068.5,인구감소지역,전라북도,14.126347715894218,0.0,0.0,0.0,0.0,3.3238465213868746,45730
전라북도 부안군,72,0,1,4,2,16,52251.0,인구감소지역,전라북도,13.77964058104151,0.0,0.19138389695890987,0.7655355878356395,0.38276779391781973,3.062142351342558,45800
전라북도 순창군,54,0,0,1,2,6,27930.0,인구감소지역,전라북도,19.33404940923738,0.0,0.0,0.35803795202291444,0.7160759040458289,2.1482277121374866,45770
전라북도 임실군,60,0,0,1,1,10,27928.0,인구감소지역,전라북도,21.48381552563735,0.0,0.0,0.3580635920939559,0.3580635920939559,3.580635920939559,45750
전라북도 장수군,29,0,0,0,0,4,22158.5,인구감소지역,전라북도,13.087528487939165,0.0,0.0,0.0,0.0,1.8051763431640229,45740
전라북도 정읍시,159,0,1,3,5,29,108474.0,인구감소지역,전라북도,14.657890370042592,0.0,0.09218798974869553,0.2765639692460866,0.46093994874347766,2.6734517027121703,45180
전라북도 진안군,40,0,0,2,0,5,25360.5,인구감소지역,전라북도,15.772559689280575,0.0,0.0,0.7886279844640287,0.0,1.9715699611600719,45720
충청남도 공주시,143,0,1,1,8,33,104677.0,인구감소지역,충청남도,13.66107167763692,0.0,0.09553196977368476,0.09553196977368476,0.7642557581894781,3.152555002531597,44150
충청남도 금산군,74,0,0,1,3,17,51373.0,인구감소지역,충청남도,14.404453701360637,0.0,0.0,0.1946547797481167,0.5839643392443501,3.309131255717984,44710
충청남도 논산시,167,0,1,2,10,37,116625.5,인구감소지역,충청남도,14.31933839511942,0.0,0.08574454128814024,0.17148908257628048,0.8574454128814024,3.1725480276611893,44230
충청남도 보령시,118,0,1,2,2,29,99852.5,인구감소지역,충청남도,11.817430710297689,0.0,0.10014771788387873,0.20029543576775746,0.20029543576775746,2.904283818632483,44180
충청남도 부여군,88,0,0,1,3,14,65431.0,인구감소지역,충청남도,13.44928245021473,0.0,0.0,0.15283275511607647,0.45849826534822946,2.1396585716250707,44760
충청남도 서천군,78,0,0,1,4,14,51820.5,인구감소지역,충청남도,15.051958201869917,0.0,0.0,0.1929738231008964,0.7718952924035856,2.7016335234125495,44770
충청남도 예산군,92,0,1,2,0,20,78071.5,인구감소지역,충청남도,11.784069730951755,0.0,0.12808771446686693,0.25617542893373385,0.0,2.561754289337338,44810
충청남도 청양군,42,0,0,0,2,7,31134.0,인구감소지역,충청남도,13.490075158990173,0.0,0.0,0.0,0.6423845313804843,2.248345859831695,44790
충청남도 태안군,68,0,0,1,1,13,62050.5,인구감소지역,충청남도,10.958815803257023,0.0,0.0,0.16115905593025034,0.16115905593025034,2.0950677270932547,44825
충청북도 괴산군,48,0,0,2,0,5,38968.0,인구감소지역,충청북도,12.317799219872716,0.0,0.0,0.5132416341613631,0.0,1.283104085403408,43760
충청북도 단양군,36,0,0,0,1,5,29143.0,인구감소지역,충청북도,12.352880623134201,0.0,0.0,0.0,0.34313557286483887,1.7156778643241946,43800
충청북도 보은군,52,0,0,1,3,8,32402.5,인구감소지역,충청북도,16.0481444332999,0.0,0.0,0.3086181621788442,0.9258544865365327,2.4689452974307535,43720
충청북도 영동군,73,0,0,1,3,15,47736.5,인구감소지역,충청북도,15.292281587464519,0.0,0.0,0.20948330941732216,0.6284499282519665,3.1422496412598324,43740
충청북도 옥천군,73,0,1,0,3,15,50381.0,인구감소지역,충청북도,14.489589329310652,0.0,0.19848752505905004,0.0,0.5954625751771502,2.9773128758857506,43730
충청북도 제천시,152,0,2,1,6,36,132882.5,인구감소지역,충청북도,11.438677026696519,0.0,0.15050890824600682,0.07525445412300341,0.4515267247380204,2.709160348428122,43150
