sigungu,일반,비혈연집단,집단시설집단,외국인,2020,인구감소지수 분류
경기도 평택시,1.2579740483880837,0.0004366633655309623,0.0006018873416778128,0.06325127858278899,224080,안심지역
경기도 포천시,0.3512484707193315,0.00019472825760164536,0.0006608959045874024,0.023786351708855527,63701,관심지역
경기도 하남시,0.6636221001938255,0.00012659710651810206,0.00014162055098301482,0.006455536782309091,113584,안심지역
경기도 화성시,1.8993145152272481,0.0007553096052427456,0.0015814294859769987,0.0852555716917749,336715,안심지역
경상남도 거제시,0.5655203643566329,0.00019472825760164536,0.0002006291138926043,0.015826096572351903,98586,안심지역
경상남도 거창군,0.15267875567227188,0.00012659710651810206,0.00012391798211013795,0.0009264344376805552,26054,인구감소지역
경상남도 고성군,0.1300489717964443,0.00012659710651810206,0.00021243082647452223,0.002112506552163304,22436,인구감소지역
경상남도 김해시,1.2230822851396435,0.00014752140727397375,0.0006136890542597308,0.039942896233501134,214170,안심지역
경상남도 남해군,0.11507259852999048,0.00012659710651810206,0.00012391798211013795,0.0011565678330279542,19721,인구감소지역
경상남도 마산합포구,0.4235103568584148,0.00010031455694630215,0.0003068445271298654,0.0036113240500668777,72452,안심지역
경상남도 마산회원구,0.44971605964656347,4.130599403671265e-05,0.0001534222635649327,0.004502353350001678,77008,안심지역
경상남도 밀양시,0.2711325448569818,4.72068503276716e-05,0.00025373682051123487,0.005080637266515656,46860,인구감소지역
경상남도 사천시,0.27462585178122956,4.130599403671265e-05,0.0004366633655309623,0.004354831942727705,47359,관심지역
경상남도 산청군,0.09211826755816017,5.3107706618630557e-05,0.00011801712581917899,0.001079856701245488,15823,인구감소지역
경상남도 성산구,0.4820173469832728,0.00010621541323726111,0.00019472825760164536,0.007736022597447183,83048,안심지역
경상남도 양산시,0.8180298067593482,5.3107706618630557e-05,0.00036585309003945486,0.013996831122154628,141072,안심지역
경상남도 의령군,0.07270445036090521,0.00012659710651810206,0.00014162055098301482,0.0011034601264093237,12535,인구감소지역
경상남도 의창구,0.6154062034403999,5.9008562909589494e-05,0.00023603425163835798,0.008863086149020344,105843,안심지역
경상남도 진주시,0.8654195836320396,0.0002242325390564401,0.00043076250924000336,0.009588891472808295,148396,안심지역
경상남도 진해구,0.4468600452017394,0.00012659710651810206,0.00014752140727397375,0.008420521927198422,77184,안심지역
경상남도 창녕군,0.15878024107712344,0.00012659710651810206,0.00026553853309315274,0.0047088833201852425,27754,인구감소지역
경상남도 통영시,0.3172182324893712,9.44137006553432e-05,0.00023013339534739904,0.006544049626673475,54922,관심지역
경상남도 하동군,0.11468314201478719,3.5405137745753704e-05,0.00010031455694630215,0.0008379215933161709,19600,인구감소지역
경상남도 함안군,0.15716340645340068,3.5405137745753704e-05,0.0003009436708389064,0.0053284732307359315,27594,인구감소지역
경상남도 함양군,0.10244476606733834,3.5405137745753704e-05,0.0001298188384010969,0.0006608959045874024,17501,인구감소지역
경상남도 합천군,0.1188373448436223,0.00012659710651810206,0.00017112483243780953,0.0008969301562257604,20322,인구감소지역
경상북도 경산시,0.68524873850019,8.26119880734253e-05,0.00047206850327671595,0.02676038327949884,120756,안심지역
경상북도 경주시,0.6564525598003103,0.0001770256887287685,0.0004366633655309623,0.030100267940181603,116452,관심지역
경상북도 고령군,0.07964975821536391,0.00012659710651810206,0.00010621541323726111,0.00236034251638358,13917,인구감소지역
경상북도 구미시,1.0003072575870702,0.00012391798211013795,0.0005369779224772645,0.011005096982638442,171496,안심지역
경상북도 군위군,0.0632925845768257,0.00012659710651810206,0.00010621541323726111,0.0006018873416778128,10850,인구감소지역
경상북도 김천시,0.3496257352393178,9.44137006553432e-05,0.0003953573714942497,0.004012582277852086,60013,관심지역
경상북도 남구,0.5666238244830422,0.0001298188384010969,0.00027734024567507067,0.005723830602230182,97063,안심지역
경상북도 문경시,0.1804127802397789,4.130599403671265e-05,0.00023013339534739904,0.00129228752772001,30839,인구감소지역
경상북도 봉화군,0.08315486685219352,2.9504281454794747e-05,8.26119880734253e-05,0.0004602667906947981,14189,인구감소지역
경상북도 북구,0.6575619207830106,4.130599403671265e-05,0.0003776548026213728,0.004744288457930996,112310,안심지역
경상북도 상주시,0.2579677344718524,6.490941920054844e-05,0.00028324110196602964,0.0015755286296860395,44043,인구감소지역
경상북도 성주군,0.10772013159145563,5.3107706618630557e-05,0.00012391798211013795,0.0025255664925304304,18713,인구감소지역
경상북도 안동시,0.4185713401428821,6.490941920054844e-05,0.00036585309003945486,0.0024606570733298823,71424,인구감소지역
경상북도 영덕군,0.10013163040128242,5.9008562909589494e-05,8.26119880734253e-05,0.0012568823899742562,17206,인구감소지역
경상북도 영양군,0.04520646004503652,0.00012659710651810206,2.9504281454794747e-05,0.00034224966487561906,7725,인구감소지역
경상북도 영주시,0.26929147769420264,5.3107706618630557e-05,0.00026553853309315274,0.0016522397614685059,45970,인구감소지역
경상북도 영천시,0.26460619779918126,0.00010031455694630215,0.0003835556589123317,0.00426631909836332,45647,인구감소지역
경상북도 예천군,0.14186248609094412,0.00012659710651810206,9.44137006553432e-05,0.0009028310125167194,24213,안심지역
경상북도 울릉군,0.024287924493587038,0.00012659710651810206,2.9504281454794747e-05,0.0004543659344038391,4199,인구감소지역
경상북도 울진군,0.12808988750784592,0.00012659710651810206,0.00011211626952822005,0.001634537192595629,22006,인구감소지역
경상북도 의성군,0.14232275288163893,2.9504281454794747e-05,0.00019472825760164536,0.0009146327250986372,24312,인구감소지역
경상북도 청도군,0.11106001625213839,3.5405137745753704e-05,0.0001888274013106864,0.0008556241621890477,19004,인구감소지역
경상북도 청송군,0.06917573829891177,0.00012659710651810206,8.851284436438425e-05,0.00034224966487561906,11797,인구감소지역
경상북도 칠곡군,0.27607746242880543,7.081027549150741e-05,0.0003776548026213728,0.006437834213436214,47953,안심지역
광주광역시 광산구,0.9403604585272183,0.00033634880858466015,0.00043076250924000336,0.029876035401125163,164553,안심지역
광주광역시 남구,0.5139527812299426,0.00011801712581917899,0.00020652997018356323,0.0025137647799485124,87579,안심지역
광주광역시 동구,0.2796297779159627,0.00012391798211013795,0.0002006291138926043,0.004425642218219212,48193,관심지역
광주광역시 북구,1.06904043166416,0.00023013339534739904,0.0003776548026213728,0.010314696796596245,183018,안심지역
광주광역시 서구,0.7329099547622654,0.00010621541323726111,0.0002006291138926043,0.0042309139606175675,124973,안심지역
대구광역시 남구,0.4078671868310826,8.26119880734253e-05,0.00023603425163835798,0.002832411019660296,69654,인구감소지역
대구광역시 달서구,1.3383909179212723,0.0003009436708389064,0.00041305994036712647,0.02224032736062428,230703,안심지역
대구광역시 달성군,0.5863680896325909,0.00010621541323726111,0.0003481505211665781,0.012574724756033521,101578,안심지역
